Brand,Nama,Harga,Diskon,Harga Sebelum Diskon
Tidak Ada Merek,PAPERIDEAS A5 DOTS HardCover NOTEBOOK 100GSM Paper BUJO Bullet Journal Fountain Pen Friendly Paper,14000000000,N/A,N/A
Tidak Ada Merek,Buku Mewarnai Full color 16 halaman - LM,400000000,20%,500000000
Gelatik,(90gr) buku gambar gelatik a4,220000000,N/A,N/A
Kuramas,Buku Kwarto Hard Cover KURAMAS 100Lembar ( Perbuku ),762500000,N/A,N/A
Kuramas,Buku Folio Hard Cover KURAMAS 100Lembar ( Perbuku ),1250000000,8%,1362500000
Penerbit Manggu,"Buku Kebijakan Publik, Memahami Perumusan, Implementasi dan Evaluasi Kebijakan Sektoral",6500000000,N/A,N/A
Tidak Ada Merek,Ruled Notebook Diary Agenda Buku Catatan Bergaris Joyko NB-661 60 Lembar,810000000,25%,1080000000
Paperline,Buku kuarto kwarto 100 Paperline,760000000,N/A,N/A
Tidak Ada Merek,Ruled Notebook Diary Agenda Buku Catatan Bergaris Joyko NB-666 60 Lembar,480000000,25%,640000000
Lainnya,BUKU SERI Praktis Menguasai Tata Bahasa Sistem 24 Jam /Pustaka Mahardika,1800000000,25%,2400000000
Deli,Deli Spiral Notebook / Buku Tulis Buku Catatan Spiral Mini Pocket Size 100 Lembar L98100,490000000,74%,1850000000
Tidak Ada Merek,Buku tulis murah note book unik premium isi 38 lembar Sidu,229000000,54%,500000000
Deli,"Deli Buku Gambar B5 Vertikal Jilid Spiral, 40 Halaman, Dapat Dibalik 360 Derajat 73628",1490000000,50%,2990000000
Lainnya,BUKU ANAK TK PAUD: LATIHAN MENULIS DENGAN RAPI BONUS BUKU DOA,2240000000,20%,2800000000
Tidak Ada Merek,"PAKET 3 BUKU SDKI, SLKI, SIKI EDISI PERTAMA BARU TERMURAH",4512000000,6%,4800000000
Gelatik,BUKU GAMBAR GELATIK A4,235000000,N/A,N/A
Paperline,Buku Hardcover Oktavo / A6 isi 100 Paperline,385000000,N/A,N/A
